,0
1651,21038.07
1652,20742.56
1653,20281.29
1654,20123.01
1655,19942.21
1656,19279.8
1657,19252.81
1658,19315.83
1659,20236.71
1660,20175.83
1661,20564.51
1662,21624.98
1663,21594.75
1664,21591.83
1665,20862.47
1666,19963.61
1667,19328.75
1668,20234.87
1669,20588.84
1670,20830.04
1671,21195.6
1672,20798.16
1673,22432.58
1674,23396.62
1675,23223.3
1676,23152.19
1677,22684.83
1678,22451.07
1679,22579.68
1680,21310.9
1681,21254.67
1682,22952.45
1683,23842.93
1684,23773.75
1685,23643.51
1686,23293.32
1687,23268.01
1688,22987.79
1689,22818.37
1690,22622.98
1691,23312.42
1692,22954.21
1693,23174.39
1694,23810
1695,23149.95
1696,23954.05
1697,23934.39
1698,24403.68
1699,24441.38
1700,24305.24
1701,24094.82
1702,23854.74
1703,23342.66
1704,23191.2
1705,20834.39
1706,21140.07
1707,21515.61
1708,21399.83
1709,21529.12
1710,21368.08
1711,21559.04
1712,20241.05
1713,20037.6
1714,19555.61
1715,20285.73
1716,19811.66
1717,20050.02
1718,20131.46
1719,19951.86
1720,19831.9
1721,20000.3
1722,19796.84
1723,18790.61
1724,19292.84
1725,19319.77
1726,21360.11
1727,21648.34
1728,21826.87
1729,22395.74
1730,20173.57
1731,20226.71
1732,19701.88
1733,19803.3
1734,20113.62
1735,19416.18
1736,19537.02
1737,18875
1738,18461.36
1739,19401.63
1740,19289.91
1741,18920.5
1742,18807.38
1743,19227.82
1744,19079.13
1745,19412.82
1746,19591.51
1747,19422.61
1748,19310.95
1749,19056.8
1750,19629.08
1751,20337.82
1752,20158.26
1753,19960.67
1754,19530.09
1755,19417.96
1756,19439.02
1757,19131.87
1758,19060
1759,19155.53
1760,19375.13
1761,19176.93
1762,19069.39
1763,19262.98
1764,19549.86
1765,19327.44
1766,19123.97
1767,19041.92
1768,19164.37
1769,19204.35
1770,19570.4
1771,19329.72
1772,20080.07
1773,20771.59
1774,20295.11
1775,20591.84
1776,20809.67
1777,20627.48
1778,20490.74
1779,20483.62
1780,20151.84
1781,20207.82
1782,21148.52
1783,21299.37
1784,20905.58
1785,20591.13
1786,18547.23
1787,15922.81
1788,17601.15
1789,17070.31
1790,16812.08
1791,16329.85
1792,16619.46
1793,16900.57
1794,16662.76
1795,16692.56
1796,16700.45
1797,16700.68
1798,16280.23
1799,15781.29
1800,16226.94
1801,16603.11
1802,16598.95
1803,16522.14
1804,16458.57
1805,16428.78
1806,16212.91
1807,16442.53
1808,16443.6
1809,16977.37
1810,17092.74
1811,16885.2
1812,17105.7
1813,16966.35
1814,17088.96
1815,16836.64
1816,17224.1
1817,17128.56
1818,17127.49
1819,17085.05
1820,17209.83
1821,17774.7
1822,17803.15
1823,17356.34
1824,16632.12
1825,16776.52
1826,16738.21
1827,16438.88
1828,16895.56
1829,16824.67
1830,16821.43
1831,16778.5
1832,16836.12
1833,16832.11
1834,16919.39
1835,16706.36
1836,16547.31
1837,16633.47
1838,16607.48
1839,16542.4
1840,16811.65129
1841,16884.9942
1842,16991.45689
1843,17114.10523
1844,17246.47801
1845,17385.80652
1846,17530.95225
1847,17681.27117
1848,17836.56396
1849,17996.72232
1850,18161.68395
1851,18331.41244
1852,18505.857
1853,18685.14795
1854,18869.37444
1855,19058.63037
1856,19252.92245
1857,19452.32832
1858,19656.97543
1859,19866.86474
1860,20082.16875
1861,20302.99673
1862,20529.49433
1863,20761.78423
1864,21000.03893
1865,21244.42135
1866,21495.14808
1867,21752.40121
1868,22016.36857
1869,22287.25142
